# Rel Grid cutoff vs total energy
# Date: Fri Aug  9 12:44:06 JST 2024
# PWD: /mnt/c/Users/manab/OneDrive/デスクトップ/CP2k-examples/A2_Si_bulk_search_cutoff
# CUTOFF = 250
# Rel Cutoff (Ry) | Total Energy (Ha) | NG on grid 1 | NG on grid 2 | NG on grid 3 | NG on grid 4
     10.00   -32.3902980018       0       0    2032    8464
     20.00   -32.3816384684       0     264    4088    6144
     30.00   -32.3805115574       0    2032    3016    5448
     40.00   -32.3805116023      56    1976    3016    5448
     50.00   -32.3804555000     264    2456    5000    2776
     60.00   -32.3804554857     264    4088    3384    2760
     70.00   -32.3804554858    1880    2472    3384    2760
     80.00   -32.3804554858    1880    2472    3384    2760
     90.00   -32.3804554847    2032    3016    5432      16
    100.00   -32.3804554847    2032    3016    5432      16
#              0.0000367493 * number of atoms (<=1 meV/atom)
